stimindex,value,rpe,sim_reward,sub,reward,sim
30,0.999652445316,0.000347557361238,1.0,101,acc,none
28,0.0,0.0,0.0,101,acc,none
31,0.999782443047,0.000217549197259,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
29,0.999914765358,8.52352823131e-05,1.0,101,acc,none
29,0.0,0.0,0.0,101,acc,none
30,0.999946653843,5.33519596502e-05,1.0,101,acc,none
29,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
29,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
31,0.999966621399,3.33949938067e-05,1.0,101,acc,none
30,0.0,0.0,0.0,101,acc,none
30,0.999914765358,8.52352823131e-05,1.0,101,acc,none
32,0.99997907877,2.09031786653e-05,1.0,101,acc,none
30,0.999863803387,0.000136172195198,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
31,0.0,0.0,0.0,101,acc,none
32,0.999863803387,0.000136172195198,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
31,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
33,0.999914765358,8.52352823131e-05,1.0,101,acc,none
31,0.0,0.0,0.0,101,acc,none
30,0.999946653843,5.33519596502e-05,1.0,101,acc,none
31,0.0,0.0,0.0,101,acc,none
32,0.999946653843,5.33519596502e-05,1.0,101,acc,none
33,0.999986886978,1.30840835482e-05,1.0,101,acc,none
32,0.999966621399,3.33949938067e-05,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
33,0.999966621399,3.33949938067e-05,1.0,101,acc,none
32,0.0,0.0,0.0,101,acc,none
33,0.0,0.0,0.0,101,acc,none
33,0.0,0.0,0.0,101,acc,none
32,0.999914765358,8.52352823131e-05,1.0,101,acc,none
33,0.999946653843,5.33519596502e-05,1.0,101,acc,none
34,0.99997907877,2.09031786653e-05,1.0,101,acc,none
1,0.0,0.0,0.0,101,acc,exp
2,0.0,0.836487770081,0.836487770081,101,acc,exp
1,0.0,0.0,0.0,101,acc,exp
2,0.0,0.0,0.0,101,acc,exp
1,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
3,0.0,0.845466434956,0.845466434956,101,acc,exp
1,0.0,0.0,0.0,101,acc,exp
4,0.285873323679,0.397781759501,0.683655083179,101,acc,exp
3,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
1,0.0,0.0,0.0,101,acc,exp
5,0.420373290777,0.314522266388,0.734895527363,101,acc,exp
2,0.0,0.0,0.0,101,acc,exp
4,0.0,0.0,0.0,101,acc,exp
3,0.0,0.0,0.0,101,acc,exp
4,0.0,0.0,0.0,101,acc,exp
1,0.0,0.0,0.0,101,acc,exp
2,0.0,0.914848744869,0.914848744869,101,acc,exp
3,0.309333235025,0.482081592083,0.791414797306,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
2,0.0,0.846937119961,0.846937119961,101,acc,exp
3,0.286370635033,0.656154632568,0.942525267601,101,acc,exp
2,0.0,0.0,0.0,101,acc,exp
3,0.0,0.822491705418,0.822491705418,101,acc,exp
5,0.282837420702,0.696687400341,0.979524791241,101,acc,exp
4,0.278104990721,0.609338462353,0.887443423271,101,acc,exp
4,0.50823289156,0.239495143294,0.747728049755,101,acc,exp
6,0.0,0.0,0.0,101,acc,exp
5,0.589212179184,0.273973703384,0.863185882568,101,acc,exp
6,0.68184953928,0.253484398127,0.935333967209,101,acc,exp
4,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
5,0.0,0.900139927864,0.900139927864,101,acc,exp
5,0.484137564898,0.443379998207,0.927517533302,101,acc,exp
6,0.518404841423,0.285431921482,0.803836762905,101,acc,exp
7,0.0,0.0,0.0,101,acc,exp
8,0.767558932304,-0.020896974951,0.746661961079,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
7,0.0,0.0,0.0,101,acc,exp
6,0.634055435658,0.335089892149,0.969145298004,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
5,0.0,0.0,0.0,101,acc,exp
6,0.304359823465,0.315316677094,0.619676470757,101,acc,exp
6,0.472337067127,0.351337879896,0.823674917221,101,acc,exp
7,0.59113317728,0.339361697435,0.930494844913,101,acc,exp
7,0.4109762609,0.462588876486,0.873565137386,101,acc,exp
7,0.614916503429,0.281263321638,0.89617985487,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
8,0.567389130592,0.14932847023,0.716717600822,101,acc,exp
9,0.0,0.0,0.0,101,acc,exp
9,0.0,0.0,0.0,101,acc,exp
10,0.760493159294,0.178546860814,0.939040064812,101,acc,exp
8,0.0,0.0,0.0,101,acc,exp
11,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
9,0.0,0.0,0.0,101,acc,exp
10,0.705879867077,0.212216988206,0.918096840382,101,acc,exp
10,0.617880821228,0.298313856125,0.916194677353,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
8,0.0,0.0,0.0,101,acc,exp
11,0.77763569355,0.105457670987,0.883093357086,101,acc,exp
9,0.526721119881,0.418002456427,0.94472360611,101,acc,exp
11,0.718748211861,0.169640719891,0.888388931751,101,acc,exp
12,0.813293576241,-0.0279785934836,0.785314977169,101,acc,exp
10,0.668058216572,0.0914957225323,0.759553909302,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
7,0.0,0.0,0.0,101,acc,exp
8,0.747357666492,0.178851649165,0.926209330559,101,acc,exp
11,0.698995172977,0.208076909184,0.907072126865,101,acc,exp
12,0.820864319801,0.0786190479994,0.899483382702,101,acc,exp
12,0.7761079669,0.0505024194717,0.826610386372,101,acc,exp
13,0.0,0.0,0.0,101,acc,exp
8,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
9,0.0,0.0,0.0,101,acc,exp
10,0.0,0.0,0.0,101,acc,exp
9,0.0,0.0,0.0,101,acc,exp
10,0.710018694401,0.0882339328527,0.79825258255,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
13,0.803833305836,0.13200737536,0.935840725899,101,acc,exp
11,0.739852786064,0.135095432401,0.874948203564,101,acc,exp
14,0.793184101582,0.0934193283319,0.886603415012,101,acc,exp
11,0.0,0.0,0.0,101,acc,exp
12,0.80783188343,-0.0302824229002,0.777549505234,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
12,0.769351184368,0.112731061876,0.882082283497,101,acc,exp
14,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
12,0.785531938076,-0.100963786244,0.684568107128,101,acc,exp
13,0.847447395325,-0.0982928946614,0.749154508114,101,acc,exp
14,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
15,0.824771523476,-0.0322826392949,0.792488873005,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
13,0.807468414307,0.126891419291,0.934359788895,101,acc,exp
14,0.850373566151,-0.0121187306941,0.83825480938,101,acc,exp
15,0.846275925636,-0.0819542631507,0.764321625233,101,acc,exp
