blockindex	stim	cresp	acc	rt	resp	category	width	angle	ignore	gl	ignore2	stimindex	sub	resp1	resp6	cresp6	cresp1
11	tree11.jpg	1	0	0.46219	6	1	38.4109	71.32	-1	-1	0	21	101	0	1	0	1
12	tree19.jpg	6	0	0.748426	1	1	40.189	61.67	-1	-1	0	18	101	1	0	1	0
13	tree39.jpg	6	1	0.708639	6	2	48.4679	34.41	-1	1	0	18	101	0	1	1	0
14	tree39.jpg	6	1	0.683293	6	2	74.8969	66.57	-1	1	0	19	101	0	1	1	0
15	tree39.jpg	6	1	0.550001	6	2	54.0355	47.2	-1	1	0	20	101	0	1	1	0
16	tree10.jpg	1	0	0.692385	6	1	39.7834	65.26	-1	-1	0	18	101	0	1	0	1
17	tree39.jpg	6	1	0.654594	6	2	41.5394	39.72	-1	1	0	21	101	0	1	1	0
18	tree39.jpg	6	1	0.542902	6	2	55.4937	44.91	-1	1	0	22	101	0	1	1	0
20	tree19.jpg	6	1	0.835459	6	2	49.8311	43.67	-1	1	0	19	101	0	1	1	0
23	tree10.jpg	1	1	1.66588	1	2	54.312	40.61	-1	1	0	19	101	1	0	0	1
24	tree18.jpg	1	0	1.506236	6	1	63.9133	87.58	-1	-1	0	19	101	0	1	0	1
25	tree10.jpg	1	1	1.248993	1	2	63.0976	48.94	-1	1	0	20	101	1	0	0	1
27	tree22.jpg	6	0	1.294479	1	1	50.9588	74.19	-1	-1	0	17	101	1	0	1	0
28	tree11.jpg	1	1	0.792832	1	2	66.3039	48.89	-1	1	0	22	101	1	0	0	1
29	tree22.jpg	6	0	0.72881	1	1	35.3626	56.32	-1	-1	0	18	101	1	0	1	0
30	tree22.jpg	6	1	0.499667	6	2	41.2765	32.74	-1	1	0	19	101	0	1	1	0
31	tree10.jpg	1	1	0.825297	1	2	20.9764	16.64	-1	1	0	21	101	1	0	0	1
32	tree11.jpg	1	1	1.165156	1	2	17.6361	10.04	-1	1	0	23	101	1	0	0	1
34	tree10.jpg	1	0	1.766105	6	1	50.7082	79.27	-1	-1	0	22	101	0	1	0	1
35	tree10.jpg	1	1	0.789201	1	2	69.0546	59.27	-1	1	0	23	101	1	0	0	1
36	tree10.jpg	1	1	0.490187	1	2	59.2293	48.67	-1	1	0	24	101	1	0	0	1
37	tree39.jpg	6	1	1.070683	6	2	53.06	49.88	-1	1	0	23	101	0	1	1	0
38	tree39.jpg	6	1	0.620715	6	2	64.4871	57.59	-1	1	0	24	101	0	1	1	0
39	tree22.jpg	6	0	0.836003	1	1	33.0092	55.35	-1	-1	0	20	101	1	0	1	0
40	tree10.jpg	1	1	0.949484	1	2	88.4728	78.1	-1	1	0	25	101	1	0	0	1
41	tree22.jpg	6	1	0.715947	6	2	57.5867	47.31	-1	1	0	21	101	0	1	1	0
43	tree18.jpg	1	1	1.141754	1	2	88.2964	77.57	-1	1	0	20	101	1	0	0	1
44	tree18.jpg	1	0	1.632393	6	1	58.4938	76.87	-1	-1	0	21	101	0	1	0	1
45	tree22.jpg	6	1	1.374606	6	2	46.9212	32.32	-1	1	0	22	101	0	1	1	0
49	tree19.jpg	6	1	1.230885	6	2	75.7908	64	-1	1	0	20	101	0	1	1	0
50	tree19.jpg	6	1	0.624502	6	2	51.5887	45.56	-1	1	0	21	101	0	1	1	0
51	tree19.jpg	6	1	0.468374	6	2	66.7859	55.09	-1	1	0	22	101	0	1	1	0
52	tree22.jpg	6	1	1.028368	6	2	30.097	23.48	-1	1	0	23	101	0	1	1	0
53	tree19.jpg	6	1	0.546916	6	2	72.2148	53.32	-1	1	0	23	101	0	1	1	0
54	tree10.jpg	1	1	0.786969	1	2	71.103	62.19	-1	1	0	26	101	1	0	0	1
